intro,score,title
"Different intermediaries between exporters and the shipping line are trying to wrest control over this requirement and extract money from it
",0,The downside of IMOs container weighing rule
"With 85% of Motherson Sumi revenue accruing from overseas operations, the 15% growth in consolidated revenue is fairly impressive",1,Motherson Sumi growth on track with steady margins in September quarter
The RBI cuts clearance time for NEFT in an attempt to enhance efficiency of the electronic payment system and add to customer convenience,0,NEFT transfers to be faster as RBI cuts clearance time
"Wipro CEO Abidali Neemuchwala says operationally, the December quarter was  good for the firm but revenue growth could have been better",1,Wipro will be back to industry-matching growth in 3-4 quarters: CEO Abidali Neemuchwala
Energy minister Khalid Al-Falih said within the next 12 months that Sauidi Arabia will be announcing concrete plans on a nuclear poer plant,0,Saudi Arabia to select nuclear power-plant site very soon: minister
CDPQ managing direct (South Asia) Anita Marangoly George comments on the present scenario in India and the pension funds investment plans,1,Renewed interest in the way LPs are looking at India: Anita Marangoly George
"While the recent strength in oil is positive, upsides for ONGC and OIL may not be high, as cess burden, now calculated at 20%, will increase and the risk of subsidy sharing remains
",1,Opec status quo leaves outlook subdued for oil companies
"Income tax department slaps fresh notice on Cairn Energy seeking Rs30,700 crore in penalties for its alleged failure to pay Rs10,247 crore capital gains tax on time",0,"I-T dept seeks Rs30,000 crore penalty from Cairn for non-payment of tax"
Banks say there is still a long way to go before the supporting infrastructure is put in place for biometric authentication-based transactions on ATMs and PoS machines,1,Meeting biometric authentication deadline a big challenge for banks 
"Given that the Q4 of 2015-16 was horrifying due to RBIs asset quality review, by the sheer low base, profits for the same quarter in 2016-17 would be pleasing to the eyes",0,Q4 results: Five numbers that distinguish bruised from battered banks
Onset of summer and rising temperatures bring shares of consumer electrical product companies back in focus,1,Summer demand: advantage market leaders in consumer electrical products
"All India power volume, excluding renewable energy, rose 5.5% in the month of March to 101.8 billion units and 4.7% for FY17, says report",0,Power utilization continues to drop due to supply glut: report
"While legal arguments govt made on return of Kohinoor diamond were distinctly odd, Vijay Mallya, who returned Tipu Sultans sword to India, may not be quite so ready to return himself
",0,"Getting back Kohinoor diamond, Vijay Mallya from the UK not easy"
"The shipping ministry has asked each port to fix a cargo-wise royalty on a per-tonne basis to be charged from stevedores and shore-handling agents
",0,Making sense of stevedoring policy
"Titans second-quarter revenue, however, fell marginally by 0.1% to Rs2,659.83 crore ",1,"Titan Q2 profit rises 23.5% on improved margins, cost-cutting measures "
"The withdrawal of Rs500 and Rs1,000 notes is expected to lead to a freeze in property transactions, significant cash flow issues, slower project approvals and softer prices",0,"Clampdown on black money to hurt realty sales, prices, approvals "
Jindal Steel defaults on payment of Rs15.43 crore towards interests on four non-convertible debentures as cash-flows continue to fall short of liabilities ,0,Jindal Steel misses interest payment for the third time since September 
A Mint analysis of 305 listed non-financial companies shows it is the smaller firms that are saddled with the highest amount of debt  relative to their market capitalization,0,Why smaller companies have bigger debts
RBIs monetary policy will be a signal of the way the central bank views macroeconomic parameters and the pace at which it expects GDP growth to come back,0,RBI monetary policy: Five things to watch out for
"Poll-bound UP is the largest beneficiary state with 34 lakh poor women getting the connection, followed by states like Rajasthan, Madhya Pradesh, Bihar and Odisha",0,Modis Ujjwala scheme set to cross 1 crore mark this week
"Overall, estimated capital requirement for the banking system is between Rs2.5 trillion and Rs3 trillion over the next four years compared with the governments promise of Rs70,000 crore
",0,A budget for the banking sector
RBI governor Urjit Patel told the parliamentary panel that the central bank is working on a mechanism to bring down transaction cost on online payments ,0,RBI governor Urjit Patel appears before parliamentary panel
Shells India head Nitin Prasad says the firm plans to double the capacity of its liquefied natural gas import facility at Hazira to 10 million tonnes a year,0,Shell plans to double Hazira LNG plant capacity:  India head
"A faster rate of decline in total operating expenses meant Castrol was able to clock an operating profit margin of 27%, higher year-on-year but lower sequentially
",0,Castrol India awaits volume recovery
"Alphabet  fourth-quarter revenue, after payments for online traffic from distribution partners, was $21.2 billionup 23% from a year earlier",0,"Alphabet fourth-quarter earnings marred by taxman, while revenue jumps"
Madhur Deora has over 17 years of experience in investment banking and most recently served in Citis investment banking business as managing director,0,Paytm appoints Madhur Deora chief financial officer
Report cites a lack of statute recognizing privacy rights and rights over personal data,0,Indian data protection norms insufficient: report
Reliance Industriess GRM improved to $10.8 a barrel from $10.1 a barrel in the September quarter but fell short of the expectations of many analysts,1,RILs refining business fails to wow in Q3
Patients suffering from paralysis can practice walking by wearing Toyotas robotic device on a special treadmill that supports their weight,1,Toyota unveils robotic leg brace that helps paralysed people walk
"MoS for personnel Jitendra Singh says the government has simplified the conditions for taking advance from GPF for education, illness and purchase of consumer durables",0,"No documentary proof required for GPF advance, withdrawal: Government"
Parsvnath Developers third quarter income from operations fell to Rs55.15 crore during from Rs67.83 crore in the year-ago period,0,Parsvnath Developers Q3 loss at Rs15 crore
Suzlon Energy will use the investments to create a renewable energy platform,1,"Suzlon set to raise Rs800 crore from PE firms Asia Climate Partners, Olympus"
"Petrol will now cost ,66.05 a litre in Delhi; diesel will cost ,55.26 per litre",0,Petrol price hiked by Rs1.34 per litre; diesel price up by Rs2.37
"As per BSE data, promoter shareholding in Kotak Mahindra Bank as on 31 December 2016 was 33.61%",0,RBI asks Kotak Mahindra to cut promoter stake to 15% by 2020
"Industrial growth was -0.27% during April-August 2016, the lowest since at least 2007-08",0,April-August industrial growth worst in a decade
"L&Ts third quarter  revenue from operations rises 1.4% to Rs26, 286.98 crore from Rs25,928.07 crore ",1,"L&T Q3 profit up 39% to Rs972 crore, revises FY17 guidance downward"
"With D.N. Prahlad on board Infosys will find it tough to further increase CEO Vishal Sikkas pay, after raising it 55% to $11 million from FY17",0,Infosys appoints D.N. Prahlad to executive pay committee 
"Galaxy C7 Pro comes with 2.2 GHz octa-core processor, 4GB RAM, 64GB inbuilt memory and support external memory of 256 GB",0,"Samsung launches Galaxy C7 Pro for Rs27,990 in India"
"For the sector as a whole, provisions rose by 80% in the September quarter but the bad loan stockpile bloated by a greater 105% on a net basis",0,Banking on three quarters and a prayer 
"NTPCs total income in third quarter rose 11% to Rs19,396 crore on improved gross power generation and higher capacity utilisation of plants",1,"NTPC Q3 net profit falls 7.5% to Rs2,469 crore"
"Investment guru Jim Rogers says if PM Narendra Modi continues doing stuff like GST, then not just him, everybody has to pay a lot more attention to India",1,Jim Rogers: I am surprised Modi government got GST through
"It seems like it will only be after Reliance Jio Infocomm Ltds launch that data prices will crash meaningfully enough to attract new users
",0,Vodafone India results: incumbents coasting along
"Tata group shares may pay a price for abrupt, opaque decision to replace Cyrus Mistry with Ratan Tata as interim chairman",0,The elephant unseats Cyrus Mistry
"Solar power offtake is seeing curtailments in Rajasthan and Tamil Nadu, impacting developers, shows study",0,Cash-strapped discoms backtrack on renewable power contracts
"TCS shares decline after its chief financial officer, Rajesh Gopinathan, is named to succeed N. Chandrasekaran as its chief executive officer ",1,TCS shares fall the most since Trump win as CEO Chandrasekaran exits
"Facebook does innovation to serve everyone in the community, says Mark Zuckerberg in the face of Snapchat bosss reported poor countries remark ",0,"Facebook for everyone and not just high end, says Mark Zuckerberg "
Analysts tracking Allcargo Logistics have pared their earnings estimates in response to a weak business environment for freight and global trade,1,Allcargo Logistics earnings provide  little cheer but still better than peers
Facebook  says users in the US would be able to order food through its restaurants  pages as part of its efforts to connect users and businesses,0,Facebook adds food ordering feature
"For banks, Vijay Mallyas arrest in London was only the first step towards recovering Rs9,000 crore in loan default by his grounded Kingfisher Airlines",0,Recovering Vijay Mallya loans a long way off for banks
"UC Browser commands 55% of mobile web browser market in India,  a commendable feat when the competition includes Google Chrome, Opera",0,UC Browser alters Indias mobile web landscape
"Plaintiffs allege that the frames in the sports utility vehicles did not undergo proper rust prevention during manufacturing, causing them to corrode prematurely ",0,Toyota agrees to settle $3.4 billion rust dispute settlement
Samsun Galaxy S8 will be available at select retail outlets and online exclusively on Samsung Shop and Flipkart from 5 May,0,"Samsung unveils Galaxy S8 priced up to Rs64,900"
"The founder of Cornerstone Sport & Entertainment and the man behind brand Virat Kohli, on the slow process of crafting a sportsmans image
",0,Bunty Sajdeh: The super-agent
"Interest and non-interest income combined rises to Rs11,469.11 crore for the quarter from Rs11,317.97 crore a year ago, Bank of India says",0,Bank of India posts Rs126.84 crore profit for September quarter
India signals it might take a tougher line in response to H-1B visa curbs put in place by the Donald Trump administration,0,"H-1B visa curbs: India talks tough, signals it may hit back at US "
"The highlight of railways budget is the scaling up of capital expenditure to Rs1.2 trillion for the next fiscal year, which is commendable, but believing the big numbers requires a leap of faith
",1,Indian Railways: faith-based budgeting
Canadas Brookfield in talks to buy all of Continuums 400MW portfolio of operational wind energy projects in India,1,Brookfield may buy Continuums assets
"During the 2000s, Yahoos biggest mistakes were failures of will",0,Yahoos demise: Nice guy founders are partly to blame
Cognizant  cuts full-year revenue growth forecast cut for third time this year,0,Cognizant results deepen IT gloom
"Hurt by weak UK operations, Tata Steel reports Rs49.38 crore loss ",0,Tata Steel swings to loss in September quarter
"Hemanth Satyanarayana, Imaginate CEO, demonstrated at EmTech organized by Mint and MIT Technology Review  what it is like to interact with a given environment via augmented reality ",0,"Augmented reality, 3D printing and a shot at the moon"
"Aggregate losses of the discoms are expected to decline by 46% to about ,20,000 crore from ,37,000 crore now, Crisil said in a report",0,Discom losses to nearly halve by fiscal 2019 on reforms: Crisil
"Hyperloop One and Hyperloop Transportation Technologies Inc. are, and both are keen to introduce the Hyperloop in India",0,Can Hyperloop transform how Indians travel?
India is scouting for new liquefied natural gas (LNG) contracts globally as part of a push to secure cheap supplies for its under-utilized gas-fired power plants,0,India in global hunt for new LNG contracts to fire power plants
US lawmakers have already tabled more than half a dozen legislations in the Congress with specific proposals to reform and improve the H1B visas systems,0,"Reviewing H1B visa program too little, too late: US lawmakers"
The SC will consider the matter at a later stage since the I&B ministry is still in the process of reviewing its one-day ban order against NDTV India ,0,NDTV India blackout: SC defers hearing till 5 December 
Apple wants to one day end the need to mine materials from the earth to make its gadgets ,0,Apple wants to use recycled metal to make iPhones
"Gross refining margins got a boost on account of inventory gains, thanks to the rising oil price trend over the quarter",1,Oil: inventory gains boost refiners margins
"Since March, investors have concluded around 17 deals that have something or the other to do with healthcare
",0,Healthcare: another gold rush in the making?
"Bhels second quarter  total income has increased to Rs6,860.53 crore of current fiscal against Rs6,314.56 crore in the corresponding period last year",1,Bhel Q2 profit at Rs109 crore
" GMR Group is in discussions with SembCorp Industries, Lone Star Fund for the stake sale in the Chhattisgarh power plant in a move to pare its debt",0,GMR Group in talks for stake sale in Chhattisgarh power plant
Indian IT professionals accounted for 16% of the over 1 lakh visas issued under the 457 visa programme by Australia in 2015-16,0,Australian 457 visa: Indians IT workers make up nearly 16% of applicants
Move comes amidst the income tax department uncovering anomalies in cooperative bank accounts post demonetisation. ,1,Cooperative banks cant accept deposits under PMGKY: government
"Hindustan Zincs fourth quarter net profit rose to Rs3,057 crore from Rs2,147 crore a year earlier",1,"Hindustan Zinc Q4 profit jumps 42% to Rs 3,057 crore  "
Most of Indias company owners and founders have conservative lifestylescontrary to exotic indulgences that are associated with the billionaire lifestyle across the world,0,Indias middle-class billionaires
"Technology is now integral to sport: is used in training, diet, recovery, clothes, shoes and in every sphere of the modern sporting world.",0,How hi-tech raises the sports bar
"Aon said the acquisition was through an all-cash deal, and all 110 CoCubes employees will now be a part of Aon Hewitt",0,Aon Hewitt buys hiring assessment firm CoCubes
"It is high time that brands look at digital strategies instead of equating social with digital, says Pratik Gupta, founder of digital advertising agency Foxymoron
",0,Brands need to be agile on digital media: Pratik Gupta
"Live videos are growing in popularity because they are immersive and engaging, giving consumers a front-row experience, say analysts",1,Why are brands turning to live video streaming? 
Donald Trump orders a look at tightening regulations on H1 B visa used by Indian IT companies to bring high-skilled foreign workers to the US,0,Donald Trump signs H1B visa order to tighten rules on foreign workers
"Elon Musks presentation was short on details about the efficiency of the solar roofs, their warranty, cost or when they will be available",0,Elon Musk unveils solar roof shingles at Los Angeles event
"Ericsson and IIT Delhi have signed a memorandum of understanding (MoU) to jointly roll out a 5G for India programme, the company said in a statement",0,Ericsson partners IIT Delhi for 5G technology in India
"State Grid Corp. of China is considering how to build links to India, South Korea, Japan and Southeast Asia, a move that would require billions of dollars of investment in long-distance, high-voltage power lines",1,Power may join list of Indias Chinese imports 
"Pramod Bhasin of Clix Capital says to face competition from the likes of Amazon, Paytm in lending, it is essential to innovate and explore technology, analytics",1,"We will see competition from Amazon, Paytm in lending: Clixs Pramod Bhasin"
Did the newly dumped Cyrus Mistry fail to plant enough saplings of growth? Or did Ratan Tata not want to face reality?,0,Tata vs Mistry: plenty of blame to go round
Indian Banks Association appealed to the public to use alternative modes of payments like debit and credit cards,0,"Banks disburse Rs30,000 crore in 3 days"
The process of ensuring there are enough currency notes in any given machine is going to be a costly exercise for banks ,0,"Scrapped Rs500, Rs1,000 notes: Are ATMs ready for the currency notes switch?"
The incentives seek to support energy security and climate change goals of the country,1,Budget 2017: Income tax break for carbon trading and strategic oil reserves
International Finance Corp will lend $100 million to Federal Bank as long-term finance for its International Financial Services Centre branch in Gujarats Gift City,1,IFC to lend $100 million to Federal Bank for Gujarats Gift City branch
"The meeting is being called together by GitHub, making software development tools, which would be attended by Google, Airbnb and Netflix ",0,Tech companies to meet on legal challenge to Trump immigration order
"UniCredit said that it incurred 13.2 billion in one-off expenses, which included a previously announced 8.1-billion write-off on bad loans plus other charges",0,Italys UniCredit bank posts massive $14.5 billion loss
"The average RoE of five PSUs was 11% in the past fiscal, while those of nine private sector firms stood at 4%, data show
",0,"In utilities, PSUs beat private firms on consistency in return on equity"
"While India sales growth was zero, Godrej Consumers international business provided able support, with reported sales growth of 19%",1,Godrej Consumers profit margins rise even as sales growth hits note ban bump
"Research shows that the game taps directly into the brains reward centres
",1,The augmented reality of Pokémon Go
The Indian governments move comes in the backdrop of concerns articulated over rising oil prices presenting a challenge to the countrys growth,1,Budget 2017: India aims to create its own ExxonMobil
"A decline in costs led to the profitability surprise, as overall revenue growth was just 3.4% compared to a year ago",1,Zee springs profitability surprise even though revenue hit by note ban
"The cloud is the single biggest trend that is impacting our industry and therefore our strategy today as a company, says Juniper CEO Rami Rahim",0,Cloud is the biggest trend impacting networking industry: Juniper CEO
Reliance announced relook at exploration and production segment in its financial presentation made to analysts for its Q3 earnings on Monday,1,Reliance revives exploration and production activities after eight years
"Separately, the ED will use the CBI chargesheet against Kingfisher Airlines, its officials and IDBI Bank officials to Vijay Mallyas extradition",0,Vijay Mallya case: CBI suspects IDBI Bank loan to Kingfisher Airlines was diverted to 7 nations
"US Citizenship and Immigration Services responsible for processing of H1B application says it has reached the congressionally mandated 65,000 visa cap for the 2018 fiscal year",1,H1B visa application caps reached
"Ciplas net sales during the third quarter under review stood at Rs3,550.02 crore, up 15.63% from the corresponding period last fiscal",1,Cipla Q3 net profit jumps 43.85% to Rs374.83 crore
"Success will be more a function of how Amazon, Flipkart and Snapdeal deal with the regulatory and market conditions than how they do with each other
",1,"Amazon, Flipkart or Snapdeal:  who will win Indias e-commerce wars?"
"While the former can now look to expand in the east and south, the latter is left with only one large state
",0,"BJP surges, Congress falls further"
"Reliance Infrastructures Q4 consolidated net profit for FY17 rose to Rs1,425.18 crore as compared to Rs759.63 crore in FY16",1,Reliance Infrastructure Q4 profit at Rs40.94 crore 
"The scheme involved so-called mirror trades between the Deutsche Banks Moscow, London and New York offices from 2011 to 2015",0,Deutsche Bank fined $630 million for failures over Russian money-laundering
"To foretell the timing of the turnaround of the public sector banks is tricky, although bankers insist that this would happen as early as the first quarter of FY18
",0,Four signs Indias banking phoenix will rise from its ashes
Karnataka high court directed Vijay Mallya to appear before it on 24 November for framing of charges in a 2013 contempt case filed by SBI,0,Vijay Mallya summoned by Karnataka high court  
"Billionaire Shin Dong-joo says hes confident hell clear his name in court, overthrow his brother as chairman and seize control of Lotte Group that generates more revenue than Google or Airbus ",0,Inside a banished Korean billionaires plot to overthrow his brother
"UltraTech reported a consolidated net profit of Rs594.61 crore in the third quarter, compared with Rs565.61 crore a year ago",1,UltraTech Q3 profit rises 5.13% to Rs594.61 crore
It isnt inconceivable that the mansion-style penthouse in Bengaluru could soon be up for sale to recover dues that Vijay Mallya owes to banks,1,Vijay Mallyas $20 million sky mansion in Bengaluru is  almost ready. But will he get to live in it?
Kiran Raos appointment comes less than a month after Boeing announced that Ihssane Mounir would replace John Wojick as its head of sales early next year,0,"Airbus said to name Kiran Rao deputy to John Leahy, anointing heir apparent"
ShopClues has launched a dedicated television marketing campaign for the category and aims to double sales from fashion over 10 months,1,ShopClues bets on  fashion segment to drive growth
"The Indian high commission in the UK is following Vijay Mallya extradition case with the British government, external affairs ministry spokesperson Gopal Baglay said",0,Vijay Mallya extradition case: India says internal process on in the UK
"Given the IPO was subscribed 43.7 times, there could have been a rush to buy shares  of Endurance Technologies by those who missed the busthe reason for the euphoria on listing",1,Endurance Tech: scarcity premium lifts stock on listing
"Despite record asset sales, India is not yet free from the burgeoning debt tangle in its corporate sector",0,India sees highest asset sales since liberalization
"Sales growth in the US is slowing due to pricing pressures, slower pace of launches and unresolved compliance issues flagged by the US Food and Drug Administration ",0,Pharma: regulatory logjam continues
"Royal Enfield has entered Brazil with three modelsBullet 500, Classic 500 and the Continental GT cafe racer",0,Royal Enfield rides into Brazilian market
Venu Srinivsasan joined the Dorabji Tata Trust on 31 October,1,TVS CMD Venu Srinivasan joins Sir Dorabji Tata Trust as trustee
NCLT also refused a waiver plea to Cyrus Mistry family firms for filing a petition alleging mismanagement and oppression of minority shareholders at Tata Sons,0,Cyrus Mistrys main NCLT petition against Tata Sons dismissed
"In the past three years, India added 77,636 megawatts (MW) of installed capacity in power generation and as much as 68% of this new capacity was powered by coal",0,"Coal, not solar, is energizing power capacity addition"
"By the end of 2016, IBM plans to integrate Sanovi Technologies capabilities into the software firms Global Technology Services unit ",0,IBM to acquire Bengaluru-based IT firm Sanovi Technologies
"Peak winter power demand in NCR which has steadily risen from 3,678MW in 2010, has already crossed last years winter peak",0,Winter power demand hits new high
Sula Vineyards CEO Rajeev Samant on his journey from Napa Valley to Nashik and the challenges that remain,0,Rajeev Samant: The Winemaker
